day,hour,place,event,value,NVA,VA,OUT,filename,productivity,VA_min,VA_max,lower_q,upper_q,VA_median,hour_box
22/01/2020,14:00,takto 9,VNA,5.108767710533329e-20,5.108767710533329e-20,0.0,0.0,9_2020012214,1.8790004208177553e-20,5.492049246888302e-27,1.1579679449476918e-17,7.351489973121576e-23,1.1576054187833708e-17,5.239309110742257e-22,14:45
22/01/2020,15:00,takto 9,-,0.0,0.0,0.0,0.0,9_2020012215,1.185478434461188e-22,0.0,1.273484999838307e-19,3.424685072624091e-25,1.2732964997648558e-19,2.6048059243789995e-24,15:00
22/01/2020,15:00,takto 9,OUT,1.0,0.0,0.0,1.0,9_2020012215,9.941291342876384e-23,1.8929014179499374e-29,4.558521899342915e-20,2.7237218109819943e-25,4.557020722125545e-20,2.0540519003776112e-24,15:15
22/01/2020,15:00,takto 9,VA,1.2944353594701637e-22,0.0,1.2944353594701637e-22,0.0,9_2020012215,1.6528903947948051e-22,1.2978792449487946e-29,6.365993877600812e-19,2.477988312443745e-25,6.365860270383379e-19,1.8712528720249605e-24,15:30
22/01/2020,15:00,takto 9,VNA,2.6527925113824273e-22,2.6527925113824273e-22,0.0,0.0,9_2020012215,1.3452434743370233e-22,2.276539392731597e-29,2.465342367472322e-19,2.928769112996626e-25,2.4651760349559006e-19,2.24191215625809e-24,15:45
22/01/2020,16:00,takto 9,-,0.0,0.0,0.0,0.0,9_2020012216,7.497385233524929e-25,0.0,8.773124469146759e-22,1.2812400512711258e-27,8.772271813213567e-22,1.0633726077665883e-26,16:00
22/01/2020,16:00,takto 9,OUT,1.0,0.0,0.0,1.0,9_2020012216,5.339847553014282e-25,4.3192535663145907e-32,3.225939690166884e-22,1.0794455525737153e-27,3.2252720290540076e-22,8.57314978326681e-27,16:15
22/01/2020,16:00,takto 9,VA,6.933356092208948e-25,0.0,6.933356092208948e-25,0.0,9_2020012216,8.177562900769408e-25,5.075787152131996e-32,3.406961920442262e-21,9.836045431533349e-28,3.406902380541476e-21,7.77343016680077e-27,16:30
22/01/2020,16:00,takto 9,VNA,1.3695829527144506e-24,1.3695829527144506e-24,0.0,0.0,9_2020012216,6.71862868152717e-25,5.756797772738119e-32,7.391175262516994e-22,1.185022132969508e-27,7.390450183336961e-22,9.288685239300494e-27,16:45
22/01/2020,06:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012206,0.0015232846443488102,0.0,0.02121474875376642,4.010573609123782e-05,0.019579920734840606,0.0003053153700089238,06:00
22/01/2020,06:00,takto 10,OUT,0.9669397874941956,0.0,0.0,0.9669397874941956,0_2020012206,0.001434265849281853,0.0,0.020143599935610282,3.3674511292888294e-05,0.01859678747490025,0.0002751255691089026,06:15
22/01/2020,06:00,takto 10,VA,0.0017185739519435606,0.0,0.0017185739519435606,0.0,0_2020012206,0.001915274017413268,0.0,0.023737379974715537,5.464228111474361e-05,0.021697120226675724,0.00038053086615140474,06:30
22/01/2020,06:00,takto 10,VNA,0.03134163855385811,0.03134163855385811,0.0,0.0,0_2020012206,0.002001471296730312,7.597532536513461e-07,0.022411173514548854,0.00012522683186774007,0.020209369897786288,0.0005231387686642152,06:45
22/01/2020,07:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012207,9.068484184789173e-06,0.0,0.0005517513187897591,1.3160329546085816e-07,0.0005445719419201005,1.2683077395418097e-06,07:00
22/01/2020,07:00,takto 10,OUT,0.9998146210955363,0.0,0.0,0.9998146210955363,0_2020012207,7.96513731257178e-06,0.0,0.0005733841336994897,1.0769069384071348e-07,0.0005669000457347201,1.1185772441668738e-06,07:15
22/01/2020,07:00,takto 10,VA,9.875038290765855e-06,0.0,9.875038290765855e-06,0.0,0_2020012207,1.0857834278496321e-05,0.0,0.0007094280197810905,1.7954729320846533e-07,0.0007006934908768449,1.5700183772725014e-06,07:30
22/01/2020,07:00,takto 10,VNA,0.0001755038661710647,0.0001755038661710647,0.0,0.0,0_2020012207,1.1608697387206146e-05,4.683750487367431e-10,0.0009179710681410008,5.027983326592007e-07,0.0009080542162102674,2.280950855030575e-06,07:45
22/01/2020,08:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012208,5.4166520465355485e-08,0.0,7.72781170769652e-06,4.5894684846695694e-10,7.696660580476567e-06,5.174059539880057e-09,08:00
22/01/2020,08:00,takto 10,OUT,0.9999989463729728,0.0,0.0,0.9999989463729728,0_2020012208,4.497783155311281e-08,0.0,5.92914559879467e-06,3.6389190069421635e-10,5.901738372434472e-06,4.57495488044795e-09,08:15
22/01/2020,08:00,takto 10,VA,5.727885893034263e-08,0.0,5.727885893034263e-08,0.0,0_2020012208,6.018010812423568e-08,0.0,7.538185862962083e-06,6.23129899284896e-10,7.500155881448036e-06,6.251200948308792e-09,08:30
22/01/2020,08:00,takto 10,VNA,9.963481734776913e-07,9.963481734776913e-07,0.0,0.0,0_2020012208,6.979097557866651e-08,2.00990621291935e-12,1.0541720392939817e-05,1.9098078203132457e-09,1.0497602731859336e-05,9.33455985581304e-09,08:45
22/01/2020,09:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012209,3.162269173811256e-10,0.0,8.224043421978751e-08,1.6064077228032982e-12,8.209945395474163e-08,2.1406816648834518e-11,09:00
22/01/2020,09:00,takto 10,OUT,0.9999999939696922,0.0,0.0,0.9999999939696922,0_2020012209,2.599352264659606e-10,0.0,1.1282864348535591e-07,1.2336869489236504e-12,1.127082098288489e-07,1.789359009595164e-11,09:15
22/01/2020,09:00,takto 10,VA,3.236214102230135e-10,0.0,3.236214102230135e-10,0.0,0_2020012209,3.277132310964251e-10,0.0,9.005900725745938e-08,2.1014566493651998e-12,8.989768854132677e-08,2.5097214731688382e-11,09:30
22/01/2020,09:00,takto 10,VNA,5.7066844058620385e-09,5.7066844058620385e-09,0.0,0.0,0_2020012209,3.906102659485429e-10,4.9270765012176764e-15,1.722616855271137e-07,7.26426906714509e-12,1.7207024098693643e-07,3.7680401995096155e-11,09:45
22/01/2020,10:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012210,1.976180508059053e-12,0.0,1.912446151319363e-09,5.664332559605145e-15,1.911839817930801e-09,8.608034986973372e-14,10:00
22/01/2020,10:00,takto 10,OUT,0.9999999999656385,0.0,0.0,0.9999999999656385,0_2020012210,1.5102533157653658e-12,0.0,1.160409154439128e-09,4.2530830781757074e-15,1.1598891136851663e-09,7.317104110148683e-14,10:15
22/01/2020,10:00,takto 10,VA,1.8418639440289594e-12,0.0,1.8418639440289594e-12,0.0,0_2020012210,1.7185362052329405e-12,0.0,4.073931298594503e-10,7.336035000478874e-15,4.066824378876545e-10,1.0031358076259434e-13,10:30
22/01/2020,10:00,takto 10,VNA,3.26346774817234e-11,3.26346774817234e-11,0.0,0.0,0_2020012210,2.1624857470584783e-12,1.5476637527863882e-17,8.140941771081639e-10,2.7093032192746788e-14,8.132397871091698e-10,1.573267970691941e-13,10:45
22/01/2020,11:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012211,1.090000555794264e-14,0.0,8.347460994198401e-12,1.9484289867392848e-17,8.344738488429351e-12,3.637148412914577e-16,11:00
22/01/2020,11:00,takto 10,OUT,0.9999999999998491,0.0,0.0,0.9999999999998491,0_2020012211,7.95959700966163e-15,0.0,9.211605687110968e-12,1.5124021326839468e-17,9.209340689203363e-12,2.9350790682287473e-16,11:15
22/01/2020,11:00,takto 10,VA,1.0184057548493609e-14,0.0,1.0184057548493609e-14,0.0,0_2020012211,9.128533916411415e-15,0.0,1.424970999782929e-12,2.545089033499544e-17,1.4219401886019266e-12,3.8591271407463214e-16,11:30
22/01/2020,11:00,takto 10,VNA,1.7805091437229495e-13,1.7805091437229495e-13,0.0,0.0,0_2020012211,1.2748093709958754e-14,3.582378847150607e-20,6.69578032949151e-12,1.0582309246714314e-16,6.691867977290039e-12,6.673244200940387e-16,11:45
22/01/2020,12:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012212,5.460647696768358e-17,0.0,4.636287882049113e-14,6.786222716408425e-20,4.6350320754632166e-14,1.4318038268962735e-18,12:00
22/01/2020,12:00,takto 10,OUT,0.9999999999999998,0.0,0.0,0.9999999999999998,0_2020012212,4.0855376557187497e-17,0.0,2.437151163963455e-14,5.2870289793425615e-20,2.4361531235160457e-14,1.2030122463387697e-18,12:15
22/01/2020,12:00,takto 10,VA,5.911235327212593e-17,0.0,5.911235327212593e-17,0.0,0_2020012212,5.111955863411043e-17,0.0,1.2734580739155887e-14,8.751589570190042e-20,1.2721270254043856e-14,1.540317698096553e-18,12:30
22/01/2020,12:00,takto 10,VNA,1.0059021198028602e-15,1.0059021198028602e-15,0.0,0.0,0_2020012212,8.986800092952222e-17,1.9599201395281571e-22,2.1556022092553138e-13,3.927798560645558e-19,2.1554283927624186e-13,2.6939384062895614e-18,12:45
22/01/2020,13:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012213,2.656263555324338e-19,0.0,1.336287657979213e-16,2.3999552673450493e-22,1.335754748467166e-16,5.7291367178065134e-21,13:00
22/01/2020,13:00,takto 10,OUT,1.0,0.0,0.0,1.0,0_2020012213,2.2417301372871935e-19,0.0,2.0962310050063793e-16,1.7492315878755936e-22,2.0957926220945363e-16,4.8226058671782474e-21,13:15
22/01/2020,13:00,takto 10,VA,2.8923873250858067e-19,0.0,2.8923873250858067e-19,0.0,0_2020012213,2.716235019917744e-19,0.0,1.6493790441811407e-16,3.2349849982875917e-22,1.6488154205790647e-16,6.272762964751213e-21,13:30
22/01/2020,13:00,takto 10,VNA,5.9307013585282995e-18,5.9307013585282995e-18,0.0,0.0,0_2020012213,3.9553205878139523e-19,4.0448922449237327e-25,3.573450785704908e-16,1.56078123705138e-21,3.5726835607723555e-16,1.1086727863492658e-20,13:45
22/01/2020,14:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012214,1.6128501367527194e-21,0.0,9.203665633041314e-19,8.819866032198912e-25,9.201380005983918e-19,2.3078642747144189e-23,14:00
22/01/2020,14:00,takto 10,OUT,1.0,0.0,0.0,1.0,0_2020012214,1.0985535482418145e-21,0.0,5.369963508386836e-19,5.760893867105298e-25,5.368059355924098e-19,1.9664615983000326e-23,14:15
22/01/2020,14:00,takto 10,VA,1.5281812574872502e-21,0.0,1.5281812574872502e-21,0.0,0_2020012214,1.3858776403531039e-21,0.0,5.772456657804651e-19,1.1186185350161586e-24,5.769877995071381e-19,2.5442469610312828e-23,14:30
22/01/2020,14:00,takto 10,VNA,3.241852417608963e-20,3.241852417608963e-20,0.0,0.0,0_2020012214,2.0154437046013628e-21,9.514381183042705e-28,2.113134873189096e-18,5.8841481836999485e-24,2.112795220897144e-18,4.548855217123234e-23,14:45
22/01/2020,15:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012215,8.618947804572353e-24,0.0,4.182874521368064e-21,3.25496396710815e-27,4.181837152664459e-21,9.498665187751043e-26,15:00
22/01/2020,15:00,takto 10,OUT,1.0,0.0,0.0,1.0,0_2020012215,6.205422255860606e-24,0.0,3.630831641721624e-21,2.1004478384634145e-27,3.629983011534557e-21,7.667656164954499e-26,15:15
22/01/2020,15:00,takto 10,VA,8.783511105459287e-24,0.0,8.783511105459287e-24,0.0,0_2020012215,8.238442448871257e-24,0.0,4.1873388078676264e-21,4.30628763458236e-27,4.186198789583252e-21,1.0178463061481674e-25,15:30
22/01/2020,15:00,takto 10,VNA,2.1487958419970207e-22,2.1487958419970207e-22,0.0,0.0,0_2020012215,1.2071231912532931e-23,1.6397932317315615e-30,1.1959964950249112e-20,2.3551478970866832e-26,1.1958452100563109e-20,1.9345451634760004e-25,15:45
22/01/2020,16:00,takto 10,-,0.0,0.0,0.0,0.0,0_2020012216,4.6265814777508333e-26,0.0,2.284562608584984e-23,1.1314513232909763e-29,2.2840917766821388e-23,3.8797859110457823e-28,16:00
22/01/2020,16:00,takto 10,OUT,1.0,0.0,0.0,1.0,0_2020012216,3.50733395957449e-26,0.0,2.185073516518195e-23,7.786652299422744e-30,2.1847047420639636e-23,3.027999810954127e-28,16:15
22/01/2020,16:00,takto 10,VA,4.387956155739736e-26,0.0,4.387956155739736e-26,0.0,0_2020012216,4.143021914016623e-26,0.0,1.7192795839267387e-23,1.492591857598783e-29,1.7187946089903843e-23,4.160666658081144e-28,16:30
22/01/2020,16:00,takto 10,VNA,9.932634416989257e-25,9.932634416989257e-25,0.0,0.0,0_2020012216,5.274887271617001e-26,1.9106420918917065e-33,5.931422715200493e-23,9.202792331638522e-29,5.930719614190705e-23,8.351752088898512e-28,16:45
22/01/2020,06:00,takto 11,-,0.0,0.0,0.0,0.0,1_2020012206,0.014009590854303634,0.0,0.11539196917528892,0.0012220823618892336,0.09815500387924897,0.003919115925330695,06:00
22/01/2020,06:00,takto 11,OUT,0.9168376983232297,0.0,0.0,0.9168376983232297,1_2020012206,0.015547624494641808,5.454859579184168e-06,0.11973442261850349,0.0018926225698384079,0.10052543636657872,0.005764158648541642,06:15
22/01/2020,06:00,takto 11,VA,0.015584775554986326,0.0,0.015584775554986326,0.0,1_2020012206,0.017088536787379854,0.0,0.1194476943213393,0.0015015465670780415,0.09562958355748247,0.0060966790421356195,06:30
22/01/2020,06:00,takto 11,VNA,0.06757752612178344,0.06757752612178344,0.0,0.0,1_2020012206,0.015693350083620012,0.0,0.11765126651678269,0.0008576722916571371,0.0970467105833222,0.004248501661878913,06:45
22/01/2020,07:00,takto 11,-,0.0,0.0,0.0,0.0,1_2020012207,0.00023120137262965733,0.0,0.00876481020380301,1.3723803351796968e-05,0.00851502695990527,6.285789628628977e-05,07:00
22/01/2020,07:00,takto 11,OUT,0.9989080483742607,0.0,0.0,0.9989080483742607,1_2020012207,0.00021225889830157893,0.0,0.009886718575920756,7.925534300650665e-06,0.009669682675057393,4.468720056504562e-05,07:15
22/01/2020,07:00,takto 11,VA,0.00021097716779560222,0.0,0.00021097716779560222,0.0,1_2020012207,0.0001903794824806249,0.0,0.005780039178566673,1.083390560711503e-05,0.005594796562058967,4.1258015297748796e-05,07:30
22/01/2020,07:00,takto 11,VNA,0.0008809744579456426,0.0008809744579456426,0.0,0.0,1_2020012207,0.00021006891777054781,7.427074542659074e-09,0.00686331545490165,1.5605923902081654e-05,0.00665181312138024,5.8419034917385604e-05,07:45
22/01/2020,08:00,takto 11,-,0.0,0.0,0.0,0.0,1_2020012208,2.636542548958747e-06,0.0,0.0005088688337534571,1.0280048438341082e-07,0.0005068744739976542,4.4123500897806163e-07,08:00
22/01/2020,08:00,takto 11,OUT,0.9999859418623123,0.0,0.0,0.9999859418623123,1_2020012208,2.802346838115554e-06,3.410864233641955e-11,0.00024015268729296835,1.4648125763043032e-07,0.00023776412960626247,6.04921426068548e-07,08:15
22/01/2020,08:00,takto 11,VA,2.9005217983688715e-06,0.0,2.9005217983688715e-06,0.0,1_2020012208,3.1647120261178928e-06,0.0,0.00029037520522739465,1.138902237099687e-07,0.0002876628353603992,6.378909388558152e-07,08:30
22/01/2020,08:00,takto 11,VNA,1.1157615888085194e-05,1.1157615888085194e-05,0.0,0.0,1_2020012208,2.998485780283292e-06,0.0,0.0002633588841652358,6.606751211760053e-08,0.00026100544710455544,4.357410520894101e-07,08:45
22/01/2020,09:00,takto 11,-,0.0,0.0,0.0,0.0,1_2020012209,4.4112123228460206e-08,0.0,3.6366450424713727e-06,1.1063938971742439e-09,3.606572331040627e-06,6.447839271712807e-09,09:00
